ano,nome_musica,artista,letra
1963,Go Away Little Girl,Donny Osmond,"Go away, little girl
Go away, little girl
I'm not supposed to be alone with you
I know that your lips are sweet
But our lips must never meet
I'm dating to somebody else, I must be true
Oh, go away, little girl (go away, little girl)
Go away, little girl (go away, little girl)
It's hurtin' me more each minute that you delay
And when you are near me like this
You're much too hard to resist
So, go away, little girl
Before I beg you to stay
Oh, go away, little girl (go away, little girl)
Go away, little girl (oh go away, little girl)
It's hurtin' be more, me more that we delay
When you are near me like this
You're much too hard to resist
So, go away, little girl
Let's call it a day, little girl
Please, go away, little girl
Before I beg you to stay
Go away
Go away, little girl (go away)
Go away, little girl (go away)
Please, go away, little girl (go away)
Go away, little girl (go away)"
2011,Amor de Alma,Victor e Leo,"Você me deu a mão, me levou
Pra tão distante
Tão distante do seu amor
Pediu pra não sonhar
E pra ficar, ficar distante
Então me diz como explicar
Aquele nosso beijo
Beijo de amor
Amor que não se faz por aí
Amor de alma
Amor que acalma
A alma
Você me deu a mão, me levou
Pra tão distante
Tão distante do seu amor
Pediu pra não sonhar
E pra ficar, ficar distante
Então me diz como explicar
Aquele nosso beijo
Beijo de amor
Amor que não se faz por aí
Amor de alma
Amor que acalma
A alma"
2008,Extravasa,Babado Novo,"Dominou geral
Sacudiu a praça
Venha que o som é massa
Rock de timbau
Groove de cabaça
E a galera embala...(2x)
Uh!
Tem que ter!
Bola na rede
Prá dizer que é gol
Vem dizer!
A todo mundo
Que no nosso amor
Tem que ter!
Uma balada
Prá gente dançar
Ah! Ah!
Extravasa
Libera e joga tudo pro ar
Eu quero ser feliz
Antes de mais nada
Extravasa
Libera e joga tudo pro ar
Ar, ar, ar, ar, ar, ar...(2x)
Dominou geral
Sacudiu a praça
Venha que o som é massa
Rock de timbau
Groove de cabaça
E a galera embala...
Tem que ter!
Bola na rede
Prá dizer que é gol
Vem dizer!
A todo mundo
Que no nosso amor
Tem que ter!
Uma balada
Prá gente dançar
Ah! Ah!
Extravasa
Libera e joga tudo pro ar
Eu quero ser feliz
Antes de mais nada
Extravasa
Libera e joga tudo pro ar
Ar, ar, ar, ar, ar, ar...(2x)
""O entusiasmo no movimento
A atividade na balada
Mais veloz que o vento
Cheio dito na idéia
Do meu papo reto
Aumente o som e dance
Quando tiver por perto
Chega de problema
Quero solução
Oh! De boca na boca!
Escute a voz
Que vem do coração
Radicalizando
Mas com limite
Hoje é dia de extravasar
Meu irmão!""
Tem que ter!
Bola na rede
Prá dizer que é gol
Vem dizer!
A todo mundo
Que no nosso amor
Tem que ter!
Uma balada
Prá gente dançar
Ah! Não! Não! Não! Não!
Extravasa
Libera e joga tudo pro ar
Eu quero ser feliz
Antes de mais nada
Extravasa
Libera e joga tudo pro ar
Ar, ar, ar, ar, ar, ar...
Extravasa
Libera e joga tudo pro ar
Eu quero ser feliz
Ser feliz, ser feliz
Extravasa
Hê! Hê!
Libera e joga tudo pro ar
Pro ar! Pro ar!"
1999,Mentira Que Virou Paixão,Leonardo,"Tinha que ser você
Mas o destino não quis
Eu juro que acreditei
Sem medo eu me entreguei
Fiz tudo pra ser feliz
Tinha que ser você
Pra sempre e um pouco mais
Mas não terminou assim
Você se afastou de mim
Deixando esse amor pra trás
Levou os nossos beijos
Deixou tantos desejos
Foi mentira que virou paixão
E o silêncio dessa solidão vem dizer
O amor
Que dura uma noite é tempo perdido
É sonho, é loucura, que não faz sentido
E sempre acaba assim, numa grande ilusão
O amor
Que é feito de verdade, não tem fingimento
Você brilhou pra mim, apenas um momento
Deixando no escuro, o meu coração
Levou os nossos beijos
Deixou tantos desejos
Foi mentira que virou paixão
E o silêncio dessa solidão vem dizer
O amor
Que dura uma noite é tempo perdido
É sonho, é loucura, que não faz sentido
E sempre acaba assim, numa grande ilusão
O amor
Que é feito de verdade, não tem fingimento
Você brilhou pra mim, apenas um momento
Deixando no escuro, o meu coração
O amor
Que dura uma noite é tempo perdido
É sonho, é loucura, que não faz sentido
E sempre acaba assim, numa grande ilusão
O amor
Que é feito de verdade, não tem fingimento
Você brilhou pra mim, apenas um momento
Deixando no escuro, o meu coração"
1961,"Corina, Corina",Demétrius,"Quero corina esse amor é o fim
Eu quero corina, esse amor é o fim
Toda noite eu peço que ela volte a mim
Corina, corina
Corina, corina
Corina, corina
É o meu amor
Minha gatinha onde esta você
Oh, minha gatinha onde está você
Sem o seu carinho. Sei que irei morrer
Corina, corina
Corina, corina
Corina, corina
É o meu amor
Oh! Queridinha! Venha por favor, pra mim
Oh! Queridinha! De-me o seu amor
Ainda irei encontrá-la seja onde for
Corina, corina
Corina, corina
Corina, corina
É o meu amor
Corina, corina
Corina, corina
Corina, corina
É o meu amor
Volte por favor
É o meu amor
Volte por favor"
2000,Oops!... I Did It Again,Britney Spears,"Yeah, yeah
Yeah, yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, yeah
I think I did it again
I made you believe we're more than just friends
Oh, baby, it might seem like a crush
But it doesn't mean that I'm serious
'Cause to lose all my senses
That is just so typically me
Oh, baby, baby
Oops! I did it again
I played with your heart
Got lost in the game
Oh, baby, baby
Oops, you think I'm in love
That I'm sent from above
I'm not that innocent
You see, my problem is this: I'm dreaming away
Wishing that heroes, they truly exist
I cry watching the days
Can't you see I'm a fool in so many ways?
But to lose all my senses
That is just so typically me
Oh, baby, oh
Oops! I did it again
I played with your heart
Got lost in the game
Oh, baby, baby
Oops, you think I'm in love
That I'm sent from above
I'm not that innocent
Yeah, yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, yeah
All aboard!
Britney, before you go
There's something I want you to have
Oh, it's beautiful! But wait a minute, isn't this?
Yeah, yes, it is!
But I thought the old lady dropped it into the ocean in the end
Well, baby, I went down and got it for ya
Aw, you shouldn't have
Oops! I did it again to your heart
Got lost in this game, oh, baby
Oops, you (oops, you) think that I'm sent from above
I'm not that innocent
Oops! I did it again
I played with your heart
Got lost in the game
Oh, baby, baby
Oops, you think I'm in love
That I'm sent from above
I'm not that innocent
Oops! I did it again
I played with your heart
Got lost in the game
Oh, baby, baby
Oops, you think I'm in love
That I'm sent from above
I'm not that innocent"
2011,E.T. (feat. Kanye West),Katy Perry,"I got a dirty mind, I got filthy ways
I'm tryna bathe my ape (ape) in your Milky Way (Way)
I'm a legend, I'm irreverent, I be reverend
I be so far up, we don't five a fuck
Welcome to the danger zone, step into the fantasy
You are not invited to the other side of sanity
They callin' me a alien and a big-headed astronaut
Maybe it's because ya boy Yeezy get ass a lot
You're so hypnotizing
Could you be the devil? Could you be an angel?
Your touch, magnetizing
Feels like I am floating, leaves my body glowing
They say: Be afraid
You're not like the others, futuristic lover
Different DNA
They don't understand you
You're from a whole 'nother world
A different dimension
You open my eyes
And I'm ready to go, lead me into the light
Kiss me
Ki-ki-kiss me
Infect me with your loving, fill me with your poison
Take me
Ta-ta-take me
Wanna be a victim, ready for abduction
Boy, you're an alien
Your touch, so foreign
It's supernatural
Extraterrestrial
You're so supersonic
Wanna feel your powers, stun me with your lasers
Your kiss is cosmic
Every move is magic
You're from a whole 'nother world
A different dimension
You open my eyes
And I'm ready to go, lead me into the light
Kiss me
Ki-ki-kiss me
Infect me with your loving, fill me with your poison
Take me
Ta-ta-take me
Wanna be a victim, ready for abduction
Boy, you're an alien
Your touch so foreign
It's supernatural
Extraterrestrial
This is transcendental
On another level
Boy, you're my lucky star
I wanna walk on your wavelength
And be there when you vibrate
For you, I'll risk it all
All
I know a bar out in Mars
Where they drivin' spaceships instead of cars
Cop a Prada spacesuit up out the stars
Gettin' stupid high, straight up out the jars
Pockets on Shrek, rockets on deck
Tell me, what's next? Alien sex?
I'ma disrobe you, then I'ma probe you
See, I abducted you, so I tell you what to do
Kiss me
Ki-ki-kiss me
Infect me with your loving, fill me with your poison
Take me
Ta-ta-take me
Wanna be a victim, ready for abduction
Boy, you're an alien
Your touch so foreign
It's supernatural
Extraterrestrial
Extraterrestrial
Extraterrestrial
Boy, you're an alien
Your touch so foreign
It's supernatural
Extraterrestrial"
1976,Xamêgo,Luiz Gonzaga,"O xamêgo dá prazer
O xamêgo faz sofrer
O xamêgo às vezes dói
Às vezes não
O xamêgo às vezes rói
O coração
Todo mundo quer saber
O que é o xamêgo
Niguém sabe se ele é branco
Se é mulato ou negro (2x)
Quem não sabe o que é xamêgo
Pede pra vovó
Que já tem setenta anos
E ainda quer xodó
E reclama noite e dia
Por viver tão só
E reclama noite e dia
Por viver tão só
Ai que xodó, que xamêgo
Que chorinho bom
Toca mais um bocadinho
Sem sair do tom
Meu comprade chegadinho
Ai que xamêgo bom
Ai que xamêgo bom
Ai que xamêgo bom"
2015,Am I Wrong,Nico & Vinz,"Ooh, ooh, ooh, ooh, ooh
Ooh, ooh, ooh, ooh, ooh
Am I wrong for thinking out the box from where I stay?
Am I wrong for saying that I choose another way?
I ain't trying to do what everybody else doing
Just 'cause everybody doing what they all do
If one thing I know, I'll fall, but I'll grow
I'm walking down this road of mine, this road that I call home
So am I wrong?
For thinking that we could be something for real?
Now, am I wrong?
For trying to reach the things that I can't see?
But that's just how I feel (ooh, ooh, ooh, ooh, ooh)
That's just how I feel (ooh, ooh, ooh, ooh, ooh)
That's just how I feel
Trying to reach the things that I can't see (see, see)
Am I tripping for having a vision?
My prediction, I'ma be on the top of the world
Walk your walk and don't look back
Always do what you decide
Don't let them control your life
That's just how I feel, oh, oh
Fight for yours and don't let go
Don't let them compare you, no
Don't worry, you're not alone
That's just how we feel
Am I wrong? (Am I wrong?)
For thinking that we could be something for real?
(Oh, yeah, yeah, yeah, yeah, oh)
Now, am I wrong? (Am I wrong?)
For trying to reach the things that I can't see?
(Oh, yeah, yeah, yeah, yeah, yeah)
But that's just how I feel (ooh, ooh, ooh, ooh, ooh)
That's just how I feel (ooh, ooh, ooh, ooh, ooh)
That's just how I feel
Trying to reach the things that I can't see (see, see)
If you tell me I'm wrong, wrong
I don't wanna be right, right
If you tell me I'm wrong, wrong
I don't wanna be right
If you tell me I'm wrong, wrong (now, if you tell me I'm wrong)
I don't wanna be right, right
If you tell me I'm wrong, wrong
I don't wanna be right
Am I wrong?
For thinking that we could be something for real?
Now, am I wrong?
For trying to reach the things that I can't see?
But that's just how I feel (ooh, ooh, ooh, ooh, ooh)
That's just how I feel (ooh, ooh, ooh, ooh, ooh)
That's just how I feel
Trying to reach the things that I can't see (see, see)
So am I wrong? (Am I wrong?)
For thinking that we could be something for real?
(Oh, yeah, yeah, yeah, yeah, oh)
Now, am I wrong? (Am I wrong?)
For trying to reach the things that I can't see?
(Oh, yeah, yeah, yeah, yeah, yeah)
But that's just how I feel (ooh, ooh, ooh, ooh, ooh)
That's just how I feel (ooh, ooh, ooh, ooh, ooh)
That's just how I feel
Trying to reach the things that I can't see (see, see)"
1963,Hava Nagila,Harry Belafonte,"Hava nagila, hava nagila, hava nagila, venishmecha
Hava nagila, hava nagila, hava nagila, venishmecha
Hava naranena, hava naranena, hava naranena, venishmecha
Hava naranena, hava naranena, hava naranena, venishmecha
Uru, uru achim,
uru achim, belev sameach
Uru achim belev sameach,
uru achim, belev sameach
Uru achim !
uru achiiiiiim
Belev sameeeeaaaaach."
1975,O Ouro e a Madeira,Os Originais do Samba,"O ouro afunda no mar
Madeira fica por cima
Ostra nasce do lodo
Gerando pérola fina
Não queria ser o mar
Me bastava a fonte
Muito menos ser a rosa
Simplesmente o espinho
Não queria ser caminho
Porém o atalho
Muito menos ser a chuva
Apenas o orvalho
Não queria ser o dia
Só a alvorada
Muito menos ser o campo
Me bastava o grão
Não queria ser a vida
Porém o momento
Muito menos ser concerto
Apenas a canção"
2000,Minha Alma (A Paz Que Eu Não Quero),O Rappa,"A minha alma tá armada e apontada
Para cara do sossego!
(Sêgo! Sêgo! Sêgo! Sêgo!)
Pois paz sem voz, paz sem voz
Não é paz, é medo!
(Medo! Medo! Medo! Medo!)
Às vezes eu falo com a vida
Às vezes é ela quem diz
Qual a paz que eu não quero conservar
Pra tentar ser feliz?
Às vezes eu falo com a vida
Às vezes é ela quem diz
Qual a paz que eu não quero conservar
Pra tentar ser feliz?
A minha alma tá armada e apontada
Para a cara do sossego!
(Sêgo! Sêgo! Sêgo! Sêgo!)
Pois paz sem voz, paz sem voz
Não é paz é medo
(Medo! Medo! Medo! Medo!)
Às vezes eu falo com a vida
Às vezes é ela quem diz
Qual a paz que eu não quero conservar
Pra tentar ser feliz?
Às vezes eu falo com a vida
Às vezes é ela quem diz
Qual a paz que eu não quero conservar
Pra tentar ser feliz?
As grades do condomínio
São pra trazer proteção
Mas também trazem a dúvida
Se é você que tá nessa prisão
Me abrace e me dê um beijo
Faça um filho comigo
Mas não me deixe sentar na poltrona
No dia de domingo (domingo!)
Procurando novas drogas de aluguel
Neste vídeo coagido
É pela paz que eu não quero seguir admitindo
Às vezes eu falo com a vida
Às vezes é ela quem diz
Qual a paz que eu não quero conservar
Pra tentar ser feliz?
Às vezes eu falo com a vida
Às vezes é ela quem diz
Qual a paz que eu não quero conservar
Pra tentar ser feliz?
As grades do condomínio
São pra trazer proteção
Mas também trazem a dúvida
Se é você que tá nessa prisão
Me abrace e me dê um beijo
Faça um filho comigo
Mas não me deixe sentar na poltrona
No dia de domingo (domingo!)
Procurando novas drogas de aluguel
Neste vídeo coagido
É pela paz que eu não quero seguir admitindo
Procurando novas drogas de aluguel
Neste vídeo coagido
É pela paz que eu não quero seguir admitindo
Me abrace e me dê um beijo
Faça um filho comigo
Mas não me deixa sentar na poltrona
No dia de domingo! (Domingo!)
Procurando novas drogas de aluguel
Neste vídeo coagido
É pela paz que eu não quero seguir admitido
Procurando novas drogas de aluguel
Neste vídeo coagido
É pela paz que eu não quero seguir admitindo
É pela paz que eu não quero seguir
É pela paz que eu não quero seguir
É pela paz que eu não quero seguir admitido
É pela paz que eu não quero seguir
É pela paz que eu não quero seguir
É pela paz que eu não quero seguir admitido"
2013,Work Bitch,Britney Spears,"You wanna?
You wanna?
You wanna hot body?
You wanna Bugatti?
You wanna Maserati?
You better work, bitch
You wanna Lamborghini?
Sip Martinis?
Look hot in a bikini?
You better work, bitch
You wanna live fancy?
Live in a big mansion?
Party in France?
You better work, bitch
You better work, bitch
You better work, bitch
You better work, bitch
Now get to work, bitch
Ah, ah
Now get to work, bitch
Ah, ah
Bring it on
Ring the alarm
Don't stop now
Just be the champion
Work it hard
Like it's your profession
Watch out now
'Cause here it comes
Here comes the smasher
Here comes the master
Here comes the big beat
Big beat to blast ya
No time to quit now
Just time to get it now
Pick up what I'm puttin' down
Pick up what I'm puttin' down
You wanna hot body?
You wanna Bugatti?
You wanna Maserati?
You better work, bitch
You wanna Lamborghini?
Sip Martinis?
Look hot in a bikini?
You better work, bitch
You wanna live fancy?
Live in a big mansion?
Party in France?
You better work, bitch
You better work, bitch
You better work, bitch
You better work, bitch
Now get to work, bitch
Ah, ah
Now get to work, bitch
Ah, ah
Break it up
Break it down
See me comin'
You can hear my sound
Tell somebody
In your town
Spread the word
Spread the word
Go call the police
Go call the governor
I bring the trouble
Don't mean to trouble ya
I make it bubble up
Call me the bubbler
I am the bad bitch
The bitch that you lovin' up
Hold your head high
Fingers to the sky
They gon' try and try ya
But they can't deny ya
Keep on floating higher and higher
So hold your head high
Fingers to the sky
Now they don't believe ya
But they gonna need ya
Keep on floating higher and higher
And higher
Work, work, (work), work
Work, (work), work, work (work)
Work, work, (work), work
Work it out, (work it out) work it out
Work it out, (work it out) work it out
Work it out, (work it out) work it out
You better work, bitch
You better work, bitch"
1966,These Boots Are Made For Walkin',Nancy Sinatra,"You keep saying you've got something for me
Something you call love, but confess
You've been messin' where you shouldn't have been messin'
And now someone else is getting all your best
These boots are made for walkin'
And that's just what they'll do
One of these days, these boots are gonna walk all over you
Yeah
You keep lyin' when you oughta be truthin'
And you keep losin' when you ought to not bet
You keep samin' when you ought to be changin'
Now what's right is right, but you ain't been right yet
These boots are made for walkin'
And that's just what they'll do
One of these days, these boots are gonna walk all over you
You keep playin' where you shouldn't be playin'
And you keep thinking that you'll never get burnt, ha!
I just found me a brand new box of matches, yeah
And what he knows you ain't had time to learn
These boots are made for walkin'
And that's just what they'll do
One of these days, these boots are gonna walk all over you
Are you ready, boots?
Start walking"
2001,Os Peão No Baile Funk,Jonas e Jeverson,"Jonas e Jeverson sertanejo da roça entraram no baile funk
e começaram a dançar
O mc gostou e já raiava o dia
e nóis garrado nas tchu-tchuca não parava de cantar
Só as cachorras, as preparadas, as popozudas, o baile todo
Pula sai do chão esse é o bonde do tigrão
Libera a energia e vem pro meio do salão
O baile está tomado eu quero ver você dançar
Tá tudo dominado e o planeta vai gritar:
Só as cachorra...
Vem pra cá com seu tigrão / vou te dar muita pressão
Quando vejo um popozão / rebolando no salão
Não consigo respirar / fico louco pra pegar
Melhor tu se preparar / que o tigrão vai te ensinar
Agora é ruim de tu fugir / que o tigrão vai te bulir
Se tu corre por aqui / eu te pego por ali
Eu vou lutar até o fim / vou trazer você pra mim
E eu te chamo bem assim / vem aqui com o kow boy zin
Jonas e jeverson sertanejo da roça
entraram no baile funk e começaram a dançar
O mc gostou e já raiava o dia
e nós garrado nas tchu tchuca não parava de cantar
Parapapa papapa papapapa
Parapapa papapa papapapa
Paparapa parapa para clack bum
Parapapa papapa papapapa
Era só mais um silva que a estrela não brilha
Ele era funkeiro mas era pai de família
Era só mais um silva que a estrela não brilha
Ele era funkeiro mas era pai de família"
1973,Your Song,Elton John,"It's a little bit funny this feeling inside
I'm not one of those who can easily hide
I don't have much money, but, boy, if I did
I'd buy a big house where we both could live
If I was a sculptor, but then again, no
Or a man who makes potions in a travelling show
I know it's not much, but it's the best I can do
My gift is my song and this one's for you
And you can tell everybody this is your song
It may be quite simple, but now that it's done
I hope you don't mind
I hope you don't mind that I put down in words
How wonderful life is while you're in the world
I sat on the roof and kicked off the moss
Well, a few of the verses, well, they've got me quite cross
But the sun's been quite kind while I wrote this song
It's for people like you that keep it turned on
So excuse me forgetting, but these things I do
You see, I've forgotten if they're green or they're blue
Anyway the thing is what I really mean
Yours are the sweetest eyes I've ever seen
And you can tell everybody this is your song
It may be quite simple, but now that it's done
I hope you don't mind
I hope you don't mind that I put down in words
How wonderful life is while you're in the world
I hope you don't mind
I hope you don't mind that I put down in words
How wonderful life is while you're in the world"
1974,Bennie And The Jets,Elton John,"Hey, kids, shake it loose together
The spotlight's hitting something
That's been known to change the weather
We'll kill the fatted calf tonight
So stick around
You're gonna hear electric music
Solid walls of sound
Say, Candy and Ronnie, have you seen them yet?
Ooh, but they're so spaced out
Bennie and the Jets
Oh, but they're weird and they're wonderful
Oh, Bennie, she's really keen
She's got electric boots, a mohair suit
You know I read it in a magazine
Bennie and the Jets
Hey, kids, plug into the faithless
Maybe they're blinded
But Bennie makes them ageless
We shall survive, let us take ourselves along
Where we fight our parents out in the streets
To find who's right and who's wrong
Oh, Candy and Ronnie, have you seen them yet?
Ooh, but they're so spaced out
Bennie and the Jets
Oh, but they're weird and they're wonderful
Oh, Bennie, she's really keen
She's got electric boots, a mohair suit
You know I read it in a magazine
Bennie and the Jets
Oh, Candy and Ronnie, have you seen them yet?
Ooh, but they're so spaced out
Bennie and the Jets
Oh, but they're weird and they're wonderful
Oh, Bennie, she's really keen
She's got electric boots, a mohair suit
You know I read it in a magazine
Bennie and the Jets
Bennie, Bennie and the Jets
Bennie, Bennie, Bennie, Bennie and the Jets
Bennie, Bennie, Bennie, Bennie, Bennie and the Jets
Bennie, Bennie, Bennie, Bennie and the Jets
Bennie, Bennie and the Jets"
1986,The Sweetest Taboo,Sade,"If I tell you, if I tell you now
Will you keep on, will you keep on loving me?
If I tell you, if I tell you how I feel
Will you keep bringing out the best in me?
You give me, you give me the sweetest taboo
You give me, you're giving me the sweetest taboo
Too good for me
There's a quiet storm
And it never felt like this before
There's a quiet storm that is you
There's a quiet storm
And it never felt this hot before
Giving me something that's taboo
(Sometimes I think you're just too good for me)
You give me the sweetest taboo
That's why I'm in love in with you (with you)
You give me the sweetest taboo
Too good for me
(Sometimes I think you're just too good for me)
I'd do anything for you
I'd stand out in the rain
Anything you want me to do
Don't let it slip away
There's a quiet storm
And it never felt like this before
There's a quiet storm, I think it's you
There's a quiet storm
And I never felt this hot before
Giving me something that's taboo
You give me the (you give me, you give me the) sweetest taboo
That's why I'm in love with you (with you)
You give me, keep giving me the sweetest taboo
Too good for me
You've got the biggest heart
Sometimes I think you're just too good for me
Every day is Christmas and every night is New Year's Eve
Will you keep on loving me
Will you keep on, will you keep on
Bringing out the best in me"
1964,O Relógio (El Reloj),Trio Irakitan,"Por que não páras relógio?
Não me faças padacer
Ela irá para sempre
Breve o sol vai nascer
Não vê, só tenho esta noite
Para viver nosso amor
Teu badalar me recorda
Que sentirei tanta dor
Detenha as horas relógio
Pois minha vida se apaga
Ela é a luz que ilumina meu ser, sem seu amor não sou nada
Detenha o tempo, te peço
Faz esta noite perpétua
Pra que meu bem não se afaste de mim, para que não amanheça."
1985,Só Pra o Vento,Ritchie,"Ela tem um jeito de andar
(Só pra o vento, só pra o vento)
O cabelo esconde o seu olhar
(Só pra o vento, só pra o vento)
Eu me lembro da primeira vez
Eu sempre vou lembrar
Vinha contra o vento na beira do mar
Ela vive só de alô e olá
(Só pra o vento, só pra o vento)
Chama o Sol e dança ao luar
(Só pra o vento, só pra o vento)
Ela sempre jura que talvez
Um dia vai voltar
Pro seu movimento lento de chegar
Fiz uma canção só pra lembrar
(Só pra o vento, só pra o vento)
Tudo o que eu quero está no ar
(Só pra o vento, só pra o vento)
Tenho um segredo e vou dizer
Yeah, ela sabe amar
Assim como o vento sabe inventar"
2003,Já Sei Namorar,Tribalistas,"Uh-uh-uh-uh-uh-uh-uh
Uh-uh-uh-uh-uh-uh
Uh-uh-uh-uh-uh-uh-uh
Uh-uh-uh-uh-uh-uh
Uh-uh-uh-uh-uh-uh-uh
Uh-uh-uh-uh-uh-uh
Uh-uh-uh-uh-uh-uh-uh
Uh-uh-uh-uh-uh-uh
Já sei namorar
Já sei beijar de língua, agora só me resta sonhar
Já sei onde ir
Já sei onde ficar, agora só me falta sair
Não tenho paciência pra televisão
Eu não sou audiência para a solidão
Eu sou de ninguém
Eu sou de todo mundo e todo mundo me quer bem
Eu sou de ninguém
Eu sou de todo mundo e todo mundo é meu também
Uh-uh-uh-uh-uh-uh-uh
Uh-uh-uh-uh-uh-uh
Uh-uh-uh-uh-uh-uh-uh
Uh-uh-uh-uh-uh-uh
Já sei namorar
Já sei chutar a bola, agora só me falta ganhar
Não tenho juiz
Se você quer a vida em jogo, eu quero é ser feliz
Não tenho paciência pra televisão
Eu não sou audiência para a solidão
Eu sou de ninguém
Eu sou de todo mundo e todo mundo me quer bem
Eu sou de ninguém
Eu sou de todo mundo e todo mundo é meu também
Tô te querendo como ninguém
Tô te querendo como Deus quiser
Tô te querendo como eu te quero
Tô te querendo como se quer
Tô te querendo como ninguém
Tô te querendo como Deus quiser
Tô te querendo como eu te quero
Tô te querendo como se quer
Uh-uh-uh-uh-uh-uh-uh
Uh-uh-uh-uh-uh-uh (tô te querendo)
Uh-uh-uh-uh-uh-uh-uh (tô te querendo)
Uh-uh-uh-uh-uh-uh (tô te querendo)
Uh-uh-uh-uh-uh-uh-uh (tô te querendo) como Deus quiser
Uh-uh-uh-uh-uh-uh (tô te querendo) como eu te quero
Uh-uh-uh-uh-uh-uh-uh (tô te querendo)
Uh-uh-uh-uh-uh-uh (tô te querendo)
Tô te querendo, tô te querendo (como Deus quiser)
Tô te querendo, tô te querendo (como eu te quero)
Tô te querendo, tô te querendo (como se quer)
Tô te querendo, tô te querendo (tô te querendo)
Uh-uh-uh-uh-uh-uh-uh (tô te querendo) como Deus quiser
Uh-uh-uh-uh-uh-uh (tô te querendo)
Uh-uh-uh-uh-uh-uh-uh (tô te querendo)
Uh-uh-uh-uh-uh-uh (tô te querendo)"
1999,No Fundo do Coração,Sandy & Junior,"Eu quero ser um lindo sonho pro teu coração
Quero fazer da sua vida, poesia e canção
Eu quero estar no seu caminho como um raio de Sol
E pros teus passos mais distantes, te guiar como um farol
Eu quero, é tudo o que eu quero
Do fundo do meu coração
Vou te encontrar na luz das estrelas
Te refletir nas águas do mar
Quero ficar assim pra sempre
Porque pra mim a vida é te amar
Se por acaso alguma nuvem encobrir teu céu
Eu vou buscar no arco-íris, aquarela e pincel
Pintar sorrisos nas palavras que você disser
Te dar magia e alegria
É meu jeito de dizer te amo, que eu te quero
Do fundo do meu coração
Vou te encontrar na luz da estrelas
Te refletir nas águas do mar
Quero ficar assim pra sempre
Porque pra mim, a vida é te amar
Você é um lindo sonho
Que eu vivo ao te olhar
Que acorda o meu coração
Um sonho assim, jamais tem fim
Eu quero ser um lindo sonho pro teu coração
Quero fazer da sua vida, poesia e canção
Eu quero estar no seu caminho como um raio de Sol
Vou te encontrar na luz da estrelas
Te refletir nas águas do mar
Quero ficar assim pra sempre
Porque pra mim, a vida é te amar
Vou te encontrar na luz da estrelas
Te refletir nas águas do mar
Quero ficar assim pra sempre
Porque pra mim, a vida é te amar
Yeah, yeah"
2005,Respirar Você,Capital Inicial,"Lento como o tempo
Que não quer passar
Dorme pelos cantos
E me faz pensar
Certo como um corte
Que não quer doer
Olho pro espelho
Sem me conhecer
Vou fingir
Que nunca te vi
Vou viver
Sem ter onde ir
Até cansar
De respirar você
Alguma coisa errada
Quando um par são três
Uma vida inteira
Na primeira vez
Palavra por palavra
O que não quer dizer
Arde tanto a ponto
De enlouquecer
Vou fingir
Que nunca te vi
Vou viver
Sem ter onde ir
Até cansar
De respirar você
Amanhã vai ser outro dia, amanhã vai ser outro dia..."
2005,Já tentei,Exaltasamba,"Impossível entender
O que fiz eu já nem sei mais
Não deu!
E agora dói lembrar
Não consigo disfarçar
Doeu!
Toda vez que paro pra pensar
Não consigo me conter
Dói no peito
A saudade faz chorar
Eu já tentei te esquecer
Eu já tentei me conformar
Em outro alguém já procurei
E desisti de te encontrar
Só por você me apaixonei
Só em teus braços quis morar
Eu não sei onde
Foi que eu errei
Ei! Ei! Ei! Ei!
Se eu errei me diz em quê?
Não dá pra adivinhar
Já não dá mais pra viver
Você tem que me escutar
Não faz assim
Nossa história
Pode ter final feliz
Eu já tentei te esquecer
Eu já tentei me conformar
Em outro alguém já procurei
E desisti de te encontrar
Só por você me apaixonei
Só em teus braços quis morar
Eu não sei onde
Foi que eu errei
Hei! Hei! Hei! Hei!
Impossível entender
O que fiz eu já nem sei
Mas, não deu!
Não Não! Não Não!
E agora dói lembrar
Não consigo disfarçar
Ai doeu! Doeu! Doeu!
Toda vez que paro pra pensar
Não consigo me conter
Dói no peito
A saudade faz chorar
Eu já tentei te esquecer
Eu já tentei me conformar
Em outro alguém já procurei
E desisti de te encontrar
Só por você me apaixonei
Só em teus braços quis morar
Eu não sei onde
Foi que eu errei
Hei! Hei! Hei! Hei!"
1958,Baião da Serra Grande,Palmeira e Biá,"O baião da Serra Grande
Já não ouves minha amada
Hoje vives no asfalto
E a casinha aqui do alto
Já não é nossa morada
Aqui tão perto do céu
Já não há felicidade
Este triste trovador
Que já foi o teu amor
Hoje chora de saudade
Não se escuta mais na serra
O cantar da juriti
Tudo é triste nesta terra
Porque a minha bem amada
Já não mora mais aqui
Se um dia te cansares
Dessa vida fantasia
Eu te espero meu benzinho
Ali no mesmo caminho
Que esperava todo dia
Tua presença aqui na serra
Sempre peço a Deus que mande
Tudo ficará contente
Cantaremos novamente
O baião da Serra Grande"
